id_experimento,MH,funcion,fitness,tiempoEjecucion,paramMH,display_name,rule_set,num_labels,category,optimo,optimum_group,optimum_group_label,gap_abs
1,PSO,F1,29.34688188900077,21.012,"iter:1000,pop:20",PSO-STD,,,Unimodal,0.0,optimum_zero,Optimum = 0,29.34688188900077
2,PSO,F1,27.473109581103994,20.832,"iter:1000,pop:20",PSO-STD,,,Unimodal,0.0,optimum_zero,Optimum = 0,27.473109581103994
3,PSO,F1,60.47237981945545,20.815,"iter:1000,pop:20",PSO-STD,,,Unimodal,0.0,optimum_zero,Optimum = 0,60.47237981945545
4,PSO,F1,33.54877738785373,21.127,"iter:1000,pop:20",PSO-STD,,,Unimodal,0.0,optimum_zero,Optimum = 0,33.54877738785373
5,PSO,F1,16.967789009035975,21.579,"iter:1000,pop:20",PSO-STD,,,Unimodal,0.0,optimum_zero,Optimum = 0,16.967789009035975
6,PSO,F1,24.162844403001912,20.363,"iter:1000,pop:20",PSO-STD,,,Unimodal,0.0,optimum_zero,Optimum = 0,24.162844403001912
7,PSO,F1,40.80470749074276,21.213,"iter:1000,pop:20",PSO-STD,,,Unimodal,0.0,optimum_zero,Optimum = 0,40.80470749074276
8,PSO,F1,23.597558733293827,21.263,"iter:1000,pop:20",PSO-STD,,,Unimodal,0.0,optimum_zero,Optimum = 0,23.597558733293827
9,PSO,F1,44.598172297928265,21.216,"iter:1000,pop:20",PSO-STD,,,Unimodal,0.0,optimum_zero,Optimum = 0,44.598172297928265
10,PSO,F1,24.509481926196088,21.408,"iter:1000,pop:20",PSO-STD,,,Unimodal,0.0,optimum_zero,Optimum = 0,24.509481926196088
11,PSO,F1,24.194118954556025,21.162,"iter:1000,pop:20",PSO-STD,,,Unimodal,0.0,optimum_zero,Optimum = 0,24.194118954556025
12,PSO,F1,16.25096691174686,22.25,"iter:1000,pop:20",PSO-STD,,,Unimodal,0.0,optimum_zero,Optimum = 0,16.25096691174686
13,PSO,F1,26.20034576931486,22.489,"iter:1000,pop:20",PSO-STD,,,Unimodal,0.0,optimum_zero,Optimum = 0,26.20034576931486
14,PSO,F1,20.723552798177984,22.375,"iter:1000,pop:20",PSO-STD,,,Unimodal,0.0,optimum_zero,Optimum = 0,20.723552798177984
15,PSO,F1,31.126205102357844,22.758,"iter:1000,pop:20",PSO-STD,,,Unimodal,0.0,optimum_zero,Optimum = 0,31.126205102357844
16,PSO,F1,14.382228852289705,22.247,"iter:1000,pop:20",PSO-STD,,,Unimodal,0.0,optimum_zero,Optimum = 0,14.382228852289705
17,PSO,F1,18.582938309288274,23.069,"iter:1000,pop:20",PSO-STD,,,Unimodal,0.0,optimum_zero,Optimum = 0,18.582938309288274
18,PSO,F1,18.358346799441883,22.729,"iter:1000,pop:20",PSO-STD,,,Unimodal,0.0,optimum_zero,Optimum = 0,18.358346799441883
19,PSO,F1,31.00914223238464,21.328,"iter:1000,pop:20",PSO-STD,,,Unimodal,0.0,optimum_zero,Optimum = 0,31.00914223238464
20,PSO,F1,39.82207906533849,21.461,"iter:1000,pop:20",PSO-STD,,,Unimodal,0.0,optimum_zero,Optimum = 0,39.82207906533849
21,PSO,F1,21.004378651421945,21.358,"iter:1000,pop:20",PSO-STD,,,Unimodal,0.0,optimum_zero,Optimum = 0,21.004378651421945
22,PSO,F1,10.92819969004469,21.283,"iter:1000,pop:20",PSO-STD,,,Unimodal,0.0,optimum_zero,Optimum = 0,10.92819969004469
23,PSO,F1,9.147846087805497,21.457,"iter:1000,pop:20",PSO-STD,,,Unimodal,0.0,optimum_zero,Optimum = 0,9.147846087805497
24,PSO,F1,23.22149817648207,22.313,"iter:1000,pop:20",PSO-STD,,,Unimodal,0.0,optimum_zero,Optimum = 0,23.22149817648207
25,PSO,F1,30.761771953792735,23.172,"iter:1000,pop:20",PSO-STD,,,Unimodal,0.0,optimum_zero,Optimum = 0,30.761771953792735
26,PSO,F1,30.419954533676176,24.143,"iter:1000,pop:20",PSO-STD,,,Unimodal,0.0,optimum_zero,Optimum = 0,30.419954533676176
27,PSO,F1,19.169159587959133,22.956,"iter:1000,pop:20",PSO-STD,,,Unimodal,0.0,optimum_zero,Optimum = 0,19.169159587959133
28,PSO,F1,32.46154682965182,23.211,"iter:1000,pop:20",PSO-STD,,,Unimodal,0.0,optimum_zero,Optimum = 0,32.46154682965182
29,PSO,F1,31.843666675986142,24.125,"iter:1000,pop:20",PSO-STD,,,Unimodal,0.0,optimum_zero,Optimum = 0,31.843666675986142
30,PSO,F1,14.731135915853967,24.305,"iter:1000,pop:20",PSO-STD,,,Unimodal,0.0,optimum_zero,Optimum = 0,14.731135915853967
31,PSO,F1,29.279720767844452,20.753,"iter:1000,pop:20",PSO-STD,,,Unimodal,0.0,optimum_zero,Optimum = 0,29.279720767844452
32,PSO_FCS:O1:3:I1:R1,F1,57.92828461357731,24.598,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R1,wMin:0.1,wMax:0.9",R1-3L,R1,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,57.92828461357731
33,PSO_FCS:O1:3:I1:R1,F1,26.17001045431678,24.455,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R1,wMin:0.1,wMax:0.9",R1-3L,R1,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,26.17001045431678
34,PSO_FCS:O1:3:I1:R1,F1,22.884377418289986,24.383,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R1,wMin:0.1,wMax:0.9",R1-3L,R1,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,22.884377418289986
35,PSO_FCS:O1:3:I1:R1,F1,32.816729679278964,24.216,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R1,wMin:0.1,wMax:0.9",R1-3L,R1,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,32.816729679278964
36,PSO_FCS:O1:3:I1:R1,F1,42.30499389186296,23.958,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R1,wMin:0.1,wMax:0.9",R1-3L,R1,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,42.30499389186296
37,PSO_FCS:O1:3:I1:R1,F1,48.59688122193516,24.541,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R1,wMin:0.1,wMax:0.9",R1-3L,R1,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,48.59688122193516
38,PSO_FCS:O1:3:I1:R1,F1,21.565899944577282,24.596,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R1,wMin:0.1,wMax:0.9",R1-3L,R1,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,21.565899944577282
39,PSO_FCS:O1:3:I1:R1,F1,51.30626017180986,25.497,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R1,wMin:0.1,wMax:0.9",R1-3L,R1,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,51.30626017180986
40,PSO_FCS:O1:3:I1:R1,F1,71.76107592486387,24.528,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R1,wMin:0.1,wMax:0.9",R1-3L,R1,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,71.76107592486387
41,PSO_FCS:O1:3:I1:R1,F1,35.0665734957549,24.699,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R1,wMin:0.1,wMax:0.9",R1-3L,R1,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,35.0665734957549
42,PSO_FCS:O1:3:I1:R1,F1,38.277177431925075,25.087,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R1,wMin:0.1,wMax:0.9",R1-3L,R1,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,38.277177431925075
43,PSO_FCS:O1:3:I1:R1,F1,71.3685646845383,26.231,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R1,wMin:0.1,wMax:0.9",R1-3L,R1,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,71.3685646845383
44,PSO_FCS:O1:3:I1:R1,F1,60.62707662804847,25.315,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R1,wMin:0.1,wMax:0.9",R1-3L,R1,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,60.62707662804847
45,PSO_FCS:O1:3:I1:R1,F1,55.39617569469213,25.724,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R1,wMin:0.1,wMax:0.9",R1-3L,R1,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,55.39617569469213
