rule_set,labels,progress_dir,diversity_dir,strategy,optimum_group,optimum_group_label,fitness_mean,fitness_std,gap_abs_mean,gap_abs_std,n_runs
R1,3,↓,—,"Prog↓, Div—",optimum_zero,Optimum = 0,527.7933602998847,795.9202333089588,527.7933602998847,795.9202333089588,93
R1,3,↓,—,"Prog↓, Div—",optimum_nonzero,Optimum != 0,-6.63072011709441,3.706600581152017,3.7334632370952363,3.686421150233208,93
R1,5,↓,—,"Prog↓, Div—",optimum_zero,Optimum = 0,461.4768710694523,683.0980690873143,461.4768710694523,683.0980690873143,93
R1,5,↓,—,"Prog↓, Div—",optimum_nonzero,Optimum != 0,-6.7097240674266105,3.7065263159442003,3.654459286763037,3.6897653164199133,93
R2,3,↑,—,"Prog↑, Div—",optimum_zero,Optimum = 0,1090438.1592790266,1644753.7176442095,1090438.1592790266,1644753.7176442095,93
R2,3,↑,—,"Prog↑, Div—",optimum_nonzero,Optimum != 0,-5.82356529759594,3.527670582272857,4.540618056593708,3.531236778870428,93
R2,5,↑,—,"Prog↑, Div—",optimum_zero,Optimum = 0,1215612.4060342123,1903790.7175717254,1215612.4060342123,1903790.7175717254,93
R2,5,↑,—,"Prog↑, Div—",optimum_nonzero,Optimum != 0,-5.800410663757381,3.4986261043717706,4.563772690432265,3.50423484368533,93
R3,3,—,→,"Prog—, Div→",optimum_zero,Optimum = 0,1074433.7414584,1658787.2640149328,1074433.7414584,1658787.2640149328,93
R3,3,—,→,"Prog—, Div→",optimum_nonzero,Optimum != 0,-6.182821119760241,3.5163173988264753,4.181362234429407,3.511059780899109,93
R3,5,—,→,"Prog—, Div→",optimum_zero,Optimum = 0,963740.8585176229,1458214.9382769251,963740.8585176229,1458214.9382769251,93
R3,5,—,→,"Prog—, Div→",optimum_nonzero,Optimum != 0,-5.535646084397431,3.4960836394071455,4.828537269792217,3.485340024687932,93
R4,3,—,←,"Prog—, Div←",optimum_zero,Optimum = 0,35579.290500005576,50965.38266580318,35579.290500005576,50965.38266580318,93
R4,3,—,←,"Prog—, Div←",optimum_nonzero,Optimum != 0,-6.439787253752971,3.5884689234977922,3.924396100436675,3.581928272755286,93
R4,5,—,←,"Prog—, Div←",optimum_zero,Optimum = 0,57153.71583793012,81636.66679878914,57153.71583793012,81636.66679878914,93
R4,5,—,←,"Prog—, Div←",optimum_nonzero,Optimum != 0,-6.370404695047497,3.6612915398958483,3.993778659142151,3.654250103725572,93
R5,3,↓,→,"Prog↓, Div→",optimum_zero,Optimum = 0,736.964689282901,1285.7723263408072,736.964689282901,1285.7723263408072,93
R5,3,↓,→,"Prog↓, Div→",optimum_nonzero,Optimum != 0,-6.395509428376194,3.6086016534663714,3.9686739258134534,3.6137023036815297,93
R5,5,↓,→,"Prog↓, Div→",optimum_zero,Optimum = 0,503.7132999378283,796.1502543446557,503.7132999378283,796.1502543446557,93
R5,5,↓,→,"Prog↓, Div→",optimum_nonzero,Optimum != 0,-5.595327678654188,3.523846042245365,4.768855675535461,3.542549559020102,93
R6,3,↓,←,"Prog↓, Div←",optimum_zero,Optimum = 0,1341.5046328564658,2032.9587672221965,1341.5046328564658,2032.9587672221965,93
R6,3,↓,←,"Prog↓, Div←",optimum_nonzero,Optimum != 0,-6.24263767704702,3.7307070327422025,4.121545677142625,3.7442273476645997,93
R6,5,↓,←,"Prog↓, Div←",optimum_zero,Optimum = 0,1052.1208663344996,1487.2438869253274,1052.1208663344996,1487.2438869253274,93
R6,5,↓,←,"Prog↓, Div←",optimum_nonzero,Optimum != 0,-5.781497029509432,3.5731194900458805,4.582686324680214,3.581551479327108,93
R7,3,↑,→,"Prog↑, Div→",optimum_zero,Optimum = 0,1043240.3688392157,1632923.4765013854,1043240.3688392157,1632923.4765013854,93
R7,3,↑,→,"Prog↑, Div→",optimum_nonzero,Optimum != 0,-5.803247428043344,3.4459147530204817,4.560935926146304,3.486172219010669,93
R7,5,↑,→,"Prog↑, Div→",optimum_zero,Optimum = 0,1273982.6202218933,1992022.8727034533,1273982.6202218933,1992022.8727034533,93
R7,5,↑,→,"Prog↑, Div→",optimum_nonzero,Optimum != 0,-5.687846649537606,3.4959465344824467,4.676336704652041,3.4903089840544776,93
R8,3,↑,←,"Prog↑, Div←",optimum_zero,Optimum = 0,2989.0827582265065,4219.9417304848685,2989.0827582265065,4219.9417304848685,93
R8,3,↑,←,"Prog↑, Div←",optimum_nonzero,Optimum != 0,-6.020733504829784,3.562863086402247,4.343449849359864,3.5540367045380066,93
R8,5,↑,←,"Prog↑, Div←",optimum_zero,Optimum = 0,3629.7043422380707,5165.508319979394,3629.7043422380707,5165.508319979394,93
R8,5,↑,←,"Prog↑, Div←",optimum_nonzero,Optimum != 0,-5.266236800035155,3.437730487038748,5.097946554154492,3.4394034523179395,93
