config,mean_rank,rank_position,friedman_stat,friedman_p,scope
R1-5L,2.8333333333333335,1,49.464052287581694,2.7895171522746608e-05,all functions
R1-3L,4.0,2,49.464052287581694,2.7895171522746608e-05,all functions
R5-3L,5.166666666666667,3,49.464052287581694,2.7895171522746608e-05,all functions
PSO-STD,5.5,4,49.464052287581694,2.7895171522746608e-05,all functions
R6-3L,6.666666666666667,5,49.464052287581694,2.7895171522746608e-05,all functions
R5-5L,7.166666666666667,6,49.464052287581694,2.7895171522746608e-05,all functions
R4-3L,7.333333333333333,7,49.464052287581694,2.7895171522746608e-05,all functions
R4-5L,8.166666666666666,8,49.464052287581694,2.7895171522746608e-05,all functions
R8-3L,8.666666666666666,9,49.464052287581694,2.7895171522746608e-05,all functions
R6-5L,8.833333333333334,10,49.464052287581694,2.7895171522746608e-05,all functions
R3-3L,10.166666666666666,11,49.464052287581694,2.7895171522746608e-05,all functions
R2-3L,12.0,12,49.464052287581694,2.7895171522746608e-05,all functions
R7-3L,12.0,13,49.464052287581694,2.7895171522746608e-05,all functions
R8-5L,12.333333333333334,14,49.464052287581694,2.7895171522746608e-05,all functions
R3-5L,13.5,15,49.464052287581694,2.7895171522746608e-05,all functions
R2-5L,14.0,16,49.464052287581694,2.7895171522746608e-05,all functions
R7-5L,14.666666666666666,17,49.464052287581694,2.7895171522746608e-05,all functions
