config,mean_rank,rank_position,friedman_stat,friedman_p,scope
PSO-STD,1.0,1,47.3202614379085,6.069792794434835e-05,optimum = 0
R1-5L,2.0,2,47.3202614379085,6.069792794434835e-05,optimum = 0
R5-5L,3.3333333333333335,3,47.3202614379085,6.069792794434835e-05,optimum = 0
R1-3L,3.6666666666666665,4,47.3202614379085,6.069792794434835e-05,optimum = 0
R5-3L,5.0,5,47.3202614379085,6.069792794434835e-05,optimum = 0
R6-5L,6.333333333333333,6,47.3202614379085,6.069792794434835e-05,optimum = 0
R6-3L,6.666666666666667,7,47.3202614379085,6.069792794434835e-05,optimum = 0
R8-3L,8.0,8,47.3202614379085,6.069792794434835e-05,optimum = 0
R8-5L,9.0,9,47.3202614379085,6.069792794434835e-05,optimum = 0
R4-3L,10.0,10,47.3202614379085,6.069792794434835e-05,optimum = 0
R4-5L,11.0,11,47.3202614379085,6.069792794434835e-05,optimum = 0
R2-3L,13.0,12,47.3202614379085,6.069792794434835e-05,optimum = 0
R3-3L,13.333333333333334,13,47.3202614379085,6.069792794434835e-05,optimum = 0
R3-5L,13.666666666666666,14,47.3202614379085,6.069792794434835e-05,optimum = 0
R7-3L,14.0,15,47.3202614379085,6.069792794434835e-05,optimum = 0
R2-5L,16.333333333333332,16,47.3202614379085,6.069792794434835e-05,optimum = 0
R7-5L,16.666666666666668,17,47.3202614379085,6.069792794434835e-05,optimum = 0
