rule_set,function,mean_3L,mean_5L,winner,p_value,cohens_d,significant
R1,F1,47.65814011817079,33.260740454206505,5L,0.004456896818453936,0.7799931449166322,True
R1,F5,1534.3907742944878,1349.865697638768,5L,0.2369676414114673,0.3433877464339949,False
R1,F11,1.3311664869957143,1.3041751153823418,5L,0.9438809678249269,0.1524158729115384,False
R1,F21,-5.869913473822079,-6.041564618693709,5L,0.6026220764472381,0.0478886490496826,False
R1,F22,-6.872989474834203,-6.96635264577396,5L,0.7904942863293336,0.02519183002690554,False
R1,F23,-7.149257402626949,-7.121254937812156,3L,0.4311593835144163,-0.00729657320128166,False
R2,F1,11081.964088301644,12329.940197032734,3L,0.10244491051997041,-0.5394116697511706,False
R2,F5,3260129.2984988866,3634390.480927241,3L,0.4141814844895094,-0.30327900576028166,False
R2,F11,103.2152498908006,116.79697836363799,3L,0.008126416353952129,-0.6900049881897535,True
R2,F21,-5.720679003494702,-5.79190874578739,5L,0.7503437892931559,0.020228605371251793,False
R2,F22,-6.115333859467918,-5.977989067179628,3L,0.8295153921026441,-0.039323971139146714,False
R2,F23,-5.634683029825201,-5.631334178305125,3L,0.4179345268889667,-0.0009233724157447666,False
R3,F1,11549.016345977361,11716.290489782354,3L,0.735449274833904,-0.06948845475503969,False
R3,F5,3211648.635632065,2879396.627766072,5L,0.3601353126708602,0.31744426618586585,False
R3,F11,103.57239715771937,109.65729701458729,3L,0.13196262957148505,-0.32961703046412194,False
R3,F21,-5.786838868953625,-5.158814701735527,3L,0.3700236543005624,-0.18082651966524793,False
R3,F22,-6.625472491494768,-5.500189926387924,3L,0.11267198984265958,-0.3197838733114988,False
R3,F23,-6.136151998832329,-5.9479336250688375,3L,0.9772761687090243,-0.05238365602376366,False
R4,F1,1756.689756663314,2300.677474770215,3L,5.888668049571935e-11,-3.1591674433833665,True
R4,F5,104964.59411855631,169138.80028060093,3L,9.956815331667485e-10,-2.3441007645931844,True
R4,F11,16.587624797102954,21.669758419204204,3L,3.030385970655878e-11,-3.1747173729605036,True
R4,F21,-5.95547933302601,-6.098284860608677,5L,0.013749183060231669,0.039563331322494615,True
R4,F22,-7.025393694053523,-6.295503126066671,3L,0.010398134061567454,-0.20320090721944722,True
R4,F23,-6.338488734179379,-6.71742609846714,5L,0.17205775213032015,0.10141567830579187,False
R5,F1,58.09151844175311,47.65105747329347,5L,0.020949904489239543,0.24742465614196524,True
R5,F5,2151.3196974169678,1462.0892655892999,5L,0.01871690674459718,0.6185638457890447,True
R5,F11,1.4828519899818469,1.3995767508912789,5L,0.17205775213032015,0.33035371951112913,False
R5,F21,-6.515064622109276,-6.195649149213465,3L,0.5920370085506858,-0.09142157067194369,False
R5,F22,-6.17830318082955,-5.057597745458399,3L,0.7521582149903343,-0.3219666482535786,False
R5,F23,-6.493160482189756,-5.5327361412906955,3L,0.08548209753234347,-0.2538912480610084,False
R6,F1,111.3125205444781,112.51704257815221,3L,0.7674973508833529,-0.04429069487957657,False
R6,F5,3911.191670988703,3041.9248046494704,5L,0.006309587826174715,0.7014533716063515,True
R6,F11,2.009707036215814,1.9207517758764945,5L,0.20014091620698737,0.40468914021090596,False
R6,F21,-6.112362302685442,-5.637164765343465,3L,0.7949441174770393,-0.13431836897456398,False
R6,F22,-7.456766737507557,-6.58310206396432,3L,0.45405748161865034,-0.24266037113674302,False
R6,F23,-5.158783990948068,-5.124224259220512,3L,0.654170372182475,-0.00940760201271271,False
R7,F1,11826.522175063361,12549.923704602052,3L,0.20014091620698737,-0.3139317639149555,False
R7,F5,3117785.1638910943,3809287.6323937606,3L,0.0737794213555026,-0.5075740953882558,False
R7,F11,109.42045148951634,110.30456731720027,3L,0.8327479062272571,-0.03997422003047538,False
R7,F21,-6.676576013313374,-5.309958947648884,3L,0.09008928085419025,-0.3911365190950575,False
R7,F22,-6.114883415471859,-6.051439768832615,3L,0.8519695171005409,-0.018301667652718945,False
R7,F23,-4.618282855344792,-5.70214123213132,5L,0.3495405953842695,0.3208634533315916,False
R8,F1,244.57366896180085,258.3615212174331,3L,0.31074630736977094,-0.20213425264793167,False
R8,F5,8719.721531205512,10627.478309639644,3L,0.001692237625956614,-0.8725855878368506,True
R8,F11,2.953074512205701,3.273195857135919,3L,0.006869894343097709,-0.5860388975655446,True
R8,F21,-5.542700081145677,-5.150577148672154,3L,0.9262201690678734,-0.11687335675342979,False
R8,F22,-6.411359935094557,-5.4427201398547576,3L,0.15106180238180505,-0.27638298427532904,False
R8,F23,-6.108140498249116,-5.205413111578548,3L,0.40601228918281684,-0.24283380093778667,False
