pair,labels,function,R1_mean,R2_mean,winner,p_value,cohens_d,significant,R3_mean,R4_mean,R5_mean,R8_mean,R6_mean,R7_mean
R1↔R2,3,F1,47.65814011817079,11081.964088301644,R1-3L,1.4018463184347286e-11,-8.026866230365956,True,,,,,,
R1↔R2,3,F5,1534.3907742944878,3260129.2984988866,R1-3L,1.4018463184347286e-11,-4.610173022053065,True,,,,,,
R1↔R2,3,F11,1.3311664869957143,103.2152498908006,R1-3L,1.4018463184347286e-11,-7.109957034671597,True,,,,,,
R1↔R2,3,F21,-5.869913473822079,-5.720679003494702,R1-3L,0.5414896218411823,-0.0415753588251354,False,,,,,,
R1↔R2,3,F22,-6.872989474834203,-6.115333859467918,R1-3L,0.7667041376320654,-0.2080871821958314,False,,,,,,
R1↔R2,3,F23,-7.149257402626949,-5.634683029825201,R1-3L,0.525901502335492,-0.41267513426792607,False,,,,,,
R1↔R2,5,F1,33.260740454206505,12329.940197032734,R1-5L,1.4018463184347286e-11,-6.60758020545356,True,,,,,,
R1↔R2,5,F5,1349.865697638768,3634390.480927241,R1-5L,1.4018463184347286e-11,-3.5914886181952985,True,,,,,,
R1↔R2,5,F11,1.3041751153823418,116.79697836363799,R1-5L,1.4018463184347286e-11,-8.55784129593198,True,,,,,,
R1↔R2,5,F21,-6.041564618693709,-5.79190874578739,R1-5L,0.8223457885241856,-0.07100511676420192,False,,,,,,
R1↔R2,5,F22,-6.96635264577396,-5.977989067179628,R1-5L,0.2813269726622799,-0.2775989982799004,False,,,,,,
R1↔R2,5,F23,-7.121254937812156,-5.631334178305125,R1-5L,0.0793584076760281,-0.39246700950851965,False,,,,,,
R3↔R4,3,F1,,,R4-3L,1.4018463184347286e-11,5.864251811181536,True,11549.016345977361,1756.689756663314,,,,
R3↔R4,3,F5,,,R4-3L,1.4018463184347286e-11,3.769241806838655,True,3211648.635632065,104964.59411855631,,,,
R3↔R4,3,F11,,,R4-3L,1.4018463184347286e-11,6.303640500658252,True,103.57239715771937,16.587624797102954,,,,
