MH,display_name,funcion,category,optimum_group_label,fitness_min,fitness_max,fitness_mean,fitness_std,fitness_median,n_runs,gap_abs_mean,time_mean,CV_pct,IQR
PSO,PSO-STD,F1,Unimodal,Optimum = 0,9.147846087805497,60.47237981945545,26.422596974291224,10.60584113854186,24.509481926196088,31,26.422596974291224,21.992645161290323,40.1392836172053,12.191624718747537
PSO,PSO-STD,F11,Multimodal,Optimum = 0,1.022031084290889,1.4886790414795754,1.194623275916556,0.10935857329135798,1.184646703520169,31,1.194623275916556,22.698774193548388,9.154230919153514,0.11731473327428876
PSO,PSO-STD,F21,Fixed-dim,Optimum != 0,-10.15319967905823,-2.6304716684108937,-5.3949433281033174,3.6124836143825627,-2.68286039569314,31,4.7582563509549125,8.397935483870969,66.96054795542388,7.522728010647334
PSO,PSO-STD,F22,Fixed-dim,Optimum != 0,-10.402940566818666,-2.7519335639012352,-6.28636757874562,3.6208958493851746,-5.08767182506029,31,4.116572988073044,11.379193548387097,57.59917478620758,7.637043239039636
PSO,PSO-STD,F23,Fixed-dim,Optimum != 0,-10.536409816692048,-1.6765532502392726,-6.118528141835008,3.8860857868035628,-3.835426803208939,31,4.417881674857039,14.907290322580645,63.51340872705518,8.10907461661792
PSO,PSO-STD,F5,Multimodal,Optimum = 0,627.8751912131635,2417.55987437308,1164.3338196256145,464.6185782877824,977.8850842825336,31,1164.3338196256145,22.222290322580644,39.90424141739506,511.89472510892324
PSO_FCS:O1:3:I1:R1,R1-3L,F1,Unimodal,Optimum = 0,13.36761308933335,87.20893555624659,47.658140118170806,19.61565428284904,48.59688122193516,31,47.658140118170806,24.936709677419355,41.159084752806166,26.237946598562637
PSO_FCS:O1:3:I1:R1,R1-3L,F11,Multimodal,Optimum = 0,1.1169246645805415,1.9423999234521672,1.3311664869957147,0.20465095285349538,1.2811514638051476,31,1.3311664869957147,26.098903225806453,15.373805970383792,0.22512589772362013
PSO_FCS:O1:3:I1:R1,R1-3L,F21,Fixed-dim,Optimum != 0,-10.15319967905823,-2.6304716684108937,-5.86991347382208,3.5495853201084997,-5.055197728932868,31,4.283286205236149,9.07516129032258,60.470828674707136,7.522728010647334
PSO_FCS:O1:3:I1:R1,R1-3L,F22,Fixed-dim,Optimum != 0,-10.402940566818666,-2.7519335639012352,-6.872989474834203,3.734629427005042,-10.402940566818664,31,3.5299510919844623,12.573129032258064,54.33777311429875,7.637043239039636
PSO_FCS:O1:3:I1:R1,R1-3L,F23,Fixed-dim,Optimum != 0,-10.536409816692048,-2.4217340272598484,-7.14925740262695,3.8273961188383034,-10.536409816692046,31,3.3871524140650973,15.653129032258065,53.53557584081321,7.665267111462005
PSO_FCS:O1:3:I1:R1,R1-3L,F5,Multimodal,Optimum = 0,578.7545657789143,3240.248152820923,1534.3907742944878,608.8403126008257,1500.3868615241217,31,1534.3907742944878,24.532290322580643,39.679612442975625,732.2992797983202
PSO_FCS:O1:3:I1:R2,R2-3L,F1,Unimodal,Optimum = 0,4023.4982753393415,14775.011658385705,11081.964088301644,1943.9804168966875,11326.58564218232,31,11081.964088301644,24.953387096774197,17.541840069205733,1595.942568031669
PSO_FCS:O1:3:I1:R2,R2-3L,F11,Multimodal,Optimum = 0,53.78425971645299,149.47241821190062,103.2152498908006,20.26432855327886,100.10712524579515,31,103.2152498908006,26.101612903225806,19.633076095555708,20.700928905800907
PSO_FCS:O1:3:I1:R2,R2-3L,F21,Fixed-dim,Optimum != 0,-10.15319967905823,-2.6304716684108937,-5.720679003494702,3.6289623581829398,-2.68286039569314,31,4.432520675563527,9.161193548387097,63.435867594843984,7.470339283365089
PSO_FCS:O1:3:I1:R2,R2-3L,F22,Fixed-dim,Optimum != 0,-10.402940566818666,-2.7519335639012352,-6.115333859467916,3.5449989977723306,-5.08767182506029,31,4.287606707350748,12.143387096774193,57.9690181965106,7.637043239039636
