display_name,fitness_mean,fitness_std,gap_abs_mean,gap_abs_std,n_runs,n_functions,mean_rank,rank,scope
R1-5L,227.38357350101288,535.8666450483905,232.56566517810768,533.610999212928,186,6,2.8333333333333335,1,all functions
R1-3L,260.5813200913951,621.9545332250113,265.76341176849,619.7337831233339,186,6,4.0,2,all functions
R5-3L,365.28458992726235,980.3246446424299,370.4666816043572,978.3611006449431,186,6,5.166666666666667,3,all functions
PSO-STD,195.69186680452307,473.1072892323342,200.87395848161788,470.91027822660686,186,6,5.5,4,all functions
R6-3L,667.6309975897093,1584.8841724138554,672.8130892668041,1582.6758946109892,186,6,6.666666666666667,5,all functions
R5-5L,249.05898612958708,616.781987735998,254.2410778066819,614.6491153110435,186,6,7.166666666666667,6,all functions
R4-3L,17786.42535637591,40124.95803977276,17791.607448053004,40122.64796034647,186,6,7.333333333333333,7,all functions
R4-5L,28573.672716617533,64307.810620676086,28578.854808294625,64305.49528510364,186,6,8.166666666666666,8,all functions
R8-3L,1491.5310123608383,3333.2588648462493,1496.7131040379331,3330.9213185590133,186,6,8.666666666666666,9,all functions
R6-5L,523.1696846524951,1175.2774877657184,528.3517763295898,1172.9417812584056,186,6,8.833333333333334,10,all functions
R3-3L,537213.7793186401,1287833.9257232093,537218.9614103172,1287831.7523372292,186,6,10.166666666666666,11,all functions
R7-3L,521617.2827958938,1264742.800763383,521622.46488757094,1264740.6519480392,186,6,12.0,12,all functions
R2-3L,545216.1678568644,1282251.875887187,545221.3499485415,1282249.660525505,186,6,12.0,13,all functions
R8-5L,1812.219052719018,4073.1115104340165,1817.4011443961128,4070.789335046001,186,6,12.333333333333334,14,all functions
R3-5L,481867.66143576935,1136180.1458159261,481872.84352744644,1136177.9361329358,186,6,13.5,15,all functions
R2-5L,607803.3028117745,1474395.691819655,607808.4849034515,1474393.543999476,186,6,14.0,16,all functions
R7-5L,636988.4661876219,1543148.6244275533,636993.648279299,1543146.473763701,186,6,14.666666666666666,17,all functions
