display_name,fitness_mean,fitness_std,gap_abs_mean,gap_abs_std,n_runs,n_functions,mean_rank,rank,scope
R1-5L,-6.70972406742661,3.706526315944201,3.654459286763037,3.6897653164199125,93,3,3.6666666666666665,1,optimum != 0
R1-3L,-6.63072011709441,3.706600581152017,3.7334632370952363,3.686421150233208,93,3,4.333333333333333,2,optimum != 0
R4-3L,-6.439787253752971,3.5884689234977936,3.924396100436675,3.581928272755286,93,3,4.666666666666667,3,optimum != 0
R5-3L,-6.395509428376194,3.60860165346637,3.9686739258134534,3.6137023036815283,93,3,5.333333333333333,4,optimum != 0
R4-5L,-6.370404695047495,3.6612915398958488,3.993778659142151,3.654250103725572,93,3,5.333333333333333,5,optimum != 0
R6-3L,-6.242637677047021,3.730707032742202,4.121545677142625,3.7442273476646006,93,3,6.666666666666667,6,optimum != 0
R3-3L,-6.182821119760241,3.5163173988264753,4.181362234429406,3.5110597808991093,93,3,7.0,7,optimum != 0
R8-3L,-6.020733504829783,3.5628630864022464,4.343449849359863,3.5540367045380066,93,3,9.333333333333334,8,optimum != 0
PSO-STD,-5.933279682894648,3.6886875204786786,4.430903671294999,3.677587447189098,93,3,10.0,9,optimum != 0
R7-3L,-5.803247428043343,3.4459147530204803,4.560935926146303,3.486172219010669,93,3,10.0,10,optimum != 0
R2-3L,-5.82356529759594,3.5276705822728576,4.540618056593707,3.5312367788704275,93,3,11.0,11,optimum != 0
R5-5L,-5.595327678654186,3.5238460422453644,4.76885567553546,3.542549559020102,93,3,11.0,12,optimum != 0
R6-5L,-5.781497029509433,3.5731194900458805,4.582686324680214,3.581551479327108,93,3,11.333333333333334,13,optimum != 0
R2-5L,-5.800410663757381,3.498626104371771,4.563772690432265,3.50423484368533,93,3,11.666666666666666,14,optimum != 0
R7-5L,-5.687846649537606,3.495946534482447,4.676336704652041,3.490308984054478,93,3,12.666666666666666,15,optimum != 0
R3-5L,-5.535646084397429,3.496083639407145,4.828537269792217,3.4853400246879325,93,3,13.333333333333334,16,optimum != 0
R8-5L,-5.266236800035154,3.4377304870387473,5.097946554154492,3.43940345231794,93,3,15.666666666666666,17,optimum != 0
