display_name,fitness_mean,fitness_std,gap_abs_mean,gap_abs_std,n_runs,n_functions,mean_rank,rank,scope
PSO-STD,397.3170132919408,606.540348530402,397.3170132919408,606.540348530402,93,3,1.0,1,optimum = 0
R1-5L,461.47687106945233,683.0980690873142,461.47687106945233,683.0980690873142,93,3,2.0,2,optimum = 0
R5-5L,503.7132999378283,796.1502543446554,503.7132999378283,796.1502543446554,93,3,3.3333333333333335,3,optimum = 0
R1-3L,527.7933602998847,795.9202333089587,527.7933602998847,795.9202333089587,93,3,3.6666666666666665,4,optimum = 0
R5-3L,736.9646892829008,1285.772326340807,736.9646892829008,1285.772326340807,93,3,5.0,5,optimum = 0
R6-5L,1052.1208663344996,1487.2438869253276,1052.1208663344996,1487.2438869253276,93,3,6.333333333333333,6,optimum = 0
R6-3L,1341.5046328564656,2032.9587672221965,1341.5046328564656,2032.9587672221965,93,3,6.666666666666667,7,optimum = 0
R8-3L,2989.082758226507,4219.941730484869,2989.082758226507,4219.941730484869,93,3,8.0,8,optimum = 0
R8-5L,3629.704342238071,5165.5083199793935,3629.704342238071,5165.5083199793935,93,3,9.0,9,optimum = 0
R4-3L,35579.29050000557,50965.382665803176,35579.29050000557,50965.382665803176,93,3,10.0,10,optimum = 0
R4-5L,57153.71583793011,81636.66679878913,57153.71583793011,81636.66679878913,93,3,11.0,11,optimum = 0
R2-3L,1090438.1592790263,1644753.7176442095,1090438.1592790263,1644753.7176442095,93,3,13.0,12,optimum = 0
R3-3L,1074433.7414584002,1658787.2640149328,1074433.7414584002,1658787.2640149328,93,3,13.333333333333334,13,optimum = 0
R3-5L,963740.858517623,1458214.9382769251,963740.858517623,1458214.9382769251,93,3,13.666666666666666,14,optimum = 0
R7-3L,1043240.3688392157,1632923.4765013852,1043240.3688392157,1632923.4765013852,93,3,14.0,15,optimum = 0
R2-5L,1215612.4060342128,1903790.7175717256,1215612.4060342128,1903790.7175717256,93,3,16.333333333333332,16,optimum = 0
R7-5L,1273982.6202218933,1992022.8727034533,1273982.6202218933,1992022.8727034533,93,3,16.666666666666668,17,optimum = 0
