config_1,config_2,wilcoxon_stat,p_value,significant_005,p_holm,significant_holm_005
PSO-STD,R1-3L,9.0,0.84375,False,1.0,False
PSO-STD,R2-3L,2.0,0.09375,False,1.0,False
PSO-STD,R3-3L,6.0,0.4375,False,1.0,False
PSO-STD,R4-3L,6.0,0.4375,False,1.0,False
PSO-STD,R5-3L,7.0,0.5625,False,1.0,False
PSO-STD,R6-3L,5.0,0.3125,False,1.0,False
PSO-STD,R7-3L,2.0,0.09375,False,1.0,False
PSO-STD,R8-3L,5.0,0.3125,False,1.0,False
PSO-STD,R1-5L,9.0,0.84375,False,1.0,False
PSO-STD,R2-5L,2.0,0.09375,False,1.0,False
PSO-STD,R3-5L,0.0,0.03125,True,1.0,False
PSO-STD,R4-5L,6.0,0.4375,False,1.0,False
PSO-STD,R5-5L,3.0,0.15625,False,1.0,False
PSO-STD,R6-5L,3.0,0.15625,False,1.0,False
PSO-STD,R7-5L,0.0,0.03125,True,1.0,False
PSO-STD,R8-5L,0.0,0.03125,True,1.0,False
R1-3L,R2-3L,0.0,0.03125,True,1.0,False
R1-3L,R3-3L,0.0,0.03125,True,1.0,False
R1-3L,R4-3L,3.0,0.15625,False,1.0,False
R1-3L,R5-3L,2.0,0.09375,False,1.0,False
R1-3L,R6-3L,3.0,0.15625,False,1.0,False
R1-3L,R7-3L,2.0,0.09375,False,1.0,False
R1-3L,R8-3L,0.0,0.03125,True,1.0,False
R1-3L,R1-5L,2.0,0.09375,False,1.0,False
R1-3L,R2-5L,0.0,0.03125,True,1.0,False
R1-3L,R3-5L,0.0,0.03125,True,1.0,False
R1-3L,R4-5L,1.0,0.0625,False,1.0,False
R1-3L,R5-5L,10.0,1.0,False,1.0,False
R1-3L,R6-5L,0.0,0.03125,True,1.0,False
R1-3L,R7-5L,0.0,0.03125,True,1.0,False
R1-3L,R8-5L,0.0,0.03125,True,1.0,False
R2-3L,R3-3L,7.0,0.5625,False,1.0,False
R2-3L,R4-3L,0.0,0.03125,True,1.0,False
R2-3L,R5-3L,0.0,0.03125,True,1.0,False
R2-3L,R6-3L,2.0,0.09375,False,1.0,False
R2-3L,R7-3L,8.0,0.6875,False,1.0,False
R2-3L,R8-3L,1.0,0.0625,False,1.0,False
R2-3L,R1-5L,0.0,0.03125,True,1.0,False
R2-3L,R2-5L,2.0,0.09375,False,1.0,False
R2-3L,R3-5L,7.0,0.5625,False,1.0,False
R2-3L,R4-5L,0.0,0.03125,True,1.0,False
R2-3L,R5-5L,4.0,0.21875,False,1.0,False
R2-3L,R6-5L,4.0,0.21875,False,1.0,False
R2-3L,R7-5L,2.0,0.09375,False,1.0,False
R2-3L,R8-5L,6.0,0.4375,False,1.0,False
R3-3L,R4-3L,0.0,0.03125,True,1.0,False
R3-3L,R5-3L,2.0,0.09375,False,1.0,False
R3-3L,R6-3L,3.0,0.15625,False,1.0,False
R3-3L,R7-3L,8.0,0.6875,False,1.0,False
R3-3L,R8-3L,6.0,0.4375,False,1.0,False
R3-3L,R1-5L,0.0,0.03125,True,1.0,False
R3-3L,R2-5L,1.0,0.0625,False,1.0,False
R3-3L,R3-5L,6.0,0.4375,False,1.0,False
R3-3L,R4-5L,2.0,0.09375,False,1.0,False
R3-3L,R5-5L,5.0,0.3125,False,1.0,False
R3-3L,R6-5L,6.0,0.4375,False,1.0,False
R3-3L,R7-5L,0.0,0.03125,True,1.0,False
R3-3L,R8-5L,6.0,0.4375,False,1.0,False
R4-3L,R5-3L,3.0,0.15625,False,1.0,False
R4-3L,R6-3L,3.0,0.15625,False,1.0,False
R4-3L,R7-3L,1.0,0.0625,False,1.0,False
R4-3L,R8-3L,6.0,0.4375,False,1.0,False
R4-3L,R1-5L,1.0,0.0625,False,1.0,False
R4-3L,R2-5L,0.0,0.03125,True,1.0,False
R4-3L,R3-5L,0.0,0.03125,True,1.0,False
R4-3L,R4-5L,3.0,0.15625,False,1.0,False
R4-3L,R5-5L,5.0,0.3125,False,1.0,False
R4-3L,R6-5L,6.0,0.4375,False,1.0,False
R4-3L,R7-5L,0.0,0.03125,True,1.0,False
R4-3L,R8-5L,6.0,0.4375,False,1.0,False
R5-3L,R6-3L,3.0,0.15625,False,1.0,False
R5-3L,R7-3L,2.0,0.09375,False,1.0,False
R5-3L,R8-3L,1.0,0.0625,False,1.0,False
R5-3L,R1-5L,2.0,0.09375,False,1.0,False
R5-3L,R2-5L,0.0,0.03125,True,1.0,False
R5-3L,R3-5L,0.0,0.03125,True,1.0,False
R5-3L,R4-5L,3.0,0.15625,False,1.0,False
R5-3L,R5-5L,9.0,0.84375,False,1.0,False
R5-3L,R6-5L,1.0,0.0625,False,1.0,False
R5-3L,R7-5L,0.0,0.03125,True,1.0,False
R5-3L,R8-5L,0.0,0.03125,True,1.0,False
R6-3L,R7-3L,2.0,0.09375,False,1.0,False
R6-3L,R8-3L,3.0,0.15625,False,1.0,False
R6-3L,R1-5L,3.0,0.15625,False,1.0,False
R6-3L,R2-5L,2.0,0.09375,False,1.0,False
R6-3L,R3-5L,1.0,0.0625,False,1.0,False
R6-3L,R4-5L,3.0,0.15625,False,1.0,False
R6-3L,R5-5L,4.0,0.21875,False,1.0,False
R6-3L,R6-5L,8.0,0.6875,False,1.0,False
R6-3L,R7-5L,1.0,0.0625,False,1.0,False
R6-3L,R8-5L,1.0,0.0625,False,1.0,False
R7-3L,R8-3L,2.0,0.09375,False,1.0,False
R7-3L,R1-5L,1.0,0.0625,False,1.0,False
R7-3L,R2-5L,3.0,0.15625,False,1.0,False
R7-3L,R3-5L,7.0,0.5625,False,1.0,False
R7-3L,R4-5L,2.0,0.09375,False,1.0,False
R7-3L,R5-5L,4.0,0.21875,False,1.0,False
R7-3L,R6-5L,3.0,0.15625,False,1.0,False
R7-3L,R7-5L,3.0,0.15625,False,1.0,False
R7-3L,R8-5L,5.0,0.3125,False,1.0,False
R8-3L,R1-5L,0.0,0.03125,True,1.0,False
R8-3L,R2-5L,1.0,0.0625,False,1.0,False
R8-3L,R3-5L,0.0,0.03125,True,1.0,False
R8-3L,R4-5L,5.0,0.3125,False,1.0,False
R8-3L,R5-5L,4.0,0.21875,False,1.0,False
R8-3L,R6-5L,3.0,0.15625,False,1.0,False
R8-3L,R7-5L,0.0,0.03125,True,1.0,False
R8-3L,R8-5L,0.0,0.03125,True,1.0,False
R1-5L,R2-5L,0.0,0.03125,True,1.0,False
R1-5L,R3-5L,0.0,0.03125,True,1.0,False
R1-5L,R4-5L,1.0,0.0625,False,1.0,False
R1-5L,R5-5L,2.0,0.09375,False,1.0,False
R1-5L,R6-5L,0.0,0.03125,True,1.0,False
