Diversity,Progress,w_set_A,w_set_B,w_set_C,w_set_D,Activated_Rules
0.00,0.00,0.5000,0.5000,0.5000,0.4200,low AND early -> medium (0.001)
0.00,0.02,0.5000,0.5000,0.5000,0.4200,low AND early -> medium (0.001)
0.00,0.04,0.5000,0.5000,0.5000,0.4200,low AND early -> medium (0.001)
0.00,0.06,0.5000,0.5000,0.5000,0.4200,low AND early -> medium (0.001)
0.00,0.08,0.5000,0.5000,0.5000,0.4200,low AND early -> medium (0.001)
0.00,0.10,0.5000,0.5000,0.5000,0.4200,low AND early -> medium (0.001)
0.00,0.12,0.5000,0.5000,0.5000,0.4200,low AND early -> medium (0.001)
0.00,0.14,0.5000,0.5000,0.5000,0.4200,low AND early -> medium (0.001)
0.00,0.16,0.5000,0.5000,0.5000,0.4200,low AND early -> medium (0.001)
0.00,0.18,0.5000,0.5000,0.5000,0.4200,low AND early -> medium (0.001)
0.00,0.20,0.5000,0.5000,0.5000,0.4200,low AND early -> medium (0.001)
0.00,0.22,0.5000,0.5000,0.5000,0.4200,low AND early -> medium (0.001)
0.00,0.24,0.5000,0.5000,0.5000,0.4200,low AND early -> medium (0.001)
0.00,0.26,0.5000,0.5000,0.5000,0.4200,low AND early -> medium (0.001)
0.00,0.28,0.5000,0.5000,0.5000,0.4200,low AND early -> medium (0.001)
0.00,0.30,0.5000,0.5000,0.5000,0.4200,low AND early -> medium (0.001) | low AND mid -> low (0.001)
0.00,0.32,0.3596,0.3600,0.4000,0.3400,low AND early -> medium (0.001) | low AND mid -> low (0.001)
0.00,0.34,0.3596,0.3600,0.4000,0.3400,low AND early -> medium (0.001) | low AND mid -> low (0.001)
0.00,0.36,0.3596,0.3600,0.4000,0.3400,low AND early -> medium (0.001) | low AND mid -> low (0.001)
0.00,0.38,0.3596,0.3600,0.4000,0.3400,low AND early -> medium (0.001) | low AND mid -> low (0.001)
0.00,0.40,0.2796,0.2600,0.3000,0.2200,low AND early -> medium (0.001) | low AND mid -> low (0.001)
0.00,0.42,0.2796,0.2600,0.3000,0.2200,low AND mid -> low (0.001)
