funcion,MH,fitness_min,fitness_mean,fitness_std,tiempo_medio,gap_pct_medio
F1,PSO,10.1907,23.0699,11.4744,9.9028,23.0699
F1,PSO_FCS:A:5,66715.7563,74768.8005,3863.5066,12.0594,74768.8005
F1,PSO_FCS:B:3,67146.8083,74912.4693,3653.2645,12.0759,74912.4693
F1,PSO_FCS:A:3,69991.3462,74972.7559,3560.5875,12.0281,74972.7559
F1,PSO_FCS:B:5,68919.2975,76414.1546,3178.4142,12.7694,76414.1546
F11,PSO,1.0964,1.2077,0.1031,10.3077,1.2077
F11,PSO_FCS:A:5,601.4417,674.6248,34.7553,12.0718,674.6248
F11,PSO_FCS:B:3,605.3211,675.2119,32.8793,12.1755,675.2119
F11,PSO_FCS:A:3,630.9221,675.7548,32.0453,12.6857,675.7548
F11,PSO_FCS:B:5,621.273,688.7248,28.6034,12.0192,688.7248
F21,PSO_FCS:A:5,-9.7904,-7.7491,1.2753,6.3854,23.6786
F21,PSO_FCS:B:5,-9.9624,-7.6987,1.6015,6.3528,24.1746
F21,PSO_FCS:B:3,-9.667,-7.6834,1.6586,6.2165,24.3252
F21,PSO_FCS:A:3,-10.006,-7.6493,1.5975,6.1902,24.6608
F21,PSO,-10.1532,-6.2891,3.8033,5.9285,38.058
F22,PSO_FCS:A:3,-10.2479,-8.1935,1.5377,8.1081,21.238
F22,PSO_FCS:A:5,-10.2682,-8.0039,1.2406,8.2936,23.0598
F22,PSO_FCS:B:5,-10.0927,-7.9072,1.1297,8.2766,23.9902
F22,PSO_FCS:B:3,-10.0283,-7.8069,1.6765,8.1015,24.9541
F22,PSO,-10.4029,-7.6908,3.7254,7.816,26.0695
F23,PSO_FCS:A:3,-10.3801,-8.2032,1.4194,10.9732,22.1436
F23,PSO_FCS:B:3,-10.1642,-8.1387,1.2425,10.9787,22.7558
F23,PSO_FCS:A:5,-10.2714,-8.1331,1.2788,11.1452,22.8083
F23,PSO_FCS:B:5,-10.228,-8.1238,1.3386,11.1333,22.8974
F23,PSO,-10.5364,-7.5189,3.8774,10.761,28.6385
F5,PSO,810.8809,1337.3093,406.1132,9.9346,1337.3093
F5,PSO_FCS:B:3,91571492.2351,104193009.5017,6913969.0734,11.8275,104193009.5017
F5,PSO_FCS:B:5,80166278.1746,106234026.9833,13457490.3447,12.1101,106234026.9833
F5,PSO_FCS:A:5,74359766.2849,108177575.2177,13972030.2157,12.1735,108177575.2177
F5,PSO_FCS:A:3,92031005.9991,108889509.0629,8889473.9537,12.2489,108889509.0629
