Iteración | PSO_FCS:A | PSO_FCS:B | PSO_FCS:C | PSO_FCS:D | Diferencia(max-min)
----------|-----------|-----------|-----------|-----------|--------------------
       0  |       nan |       nan |       nan |       nan |                nan
       5  |  0.500000 |  0.500000 |  0.500000 |  0.421956 |           0.078044
      10  |  0.500000 |  0.500000 |  0.500000 |  0.422637 |           0.077363
      50  |  0.500000 |  0.500000 |  0.500000 |  0.422640 |           0.077360
     100  |  0.500000 |  0.500000 |  0.500000 |  0.422695 |           0.077305
     150  |  0.500000 |  0.500000 |  0.500000 |  0.422748 |           0.077252
     200  |  0.275144 |  0.257254 |  0.300000 |  0.220000 |           0.080000
     250  |  0.275051 |  0.257202 |  0.300000 |  0.220000 |           0.080000
     300  |  0.274957 |  0.257145 |  0.300000 |  0.220000 |           0.080000
     350  |  0.274934 |  0.257135 |  0.300000 |  0.220000 |           0.080000
     400  |  0.274981 |  0.257162 |  0.300000 |  0.220000 |           0.080000
     450  |  0.274934 |  0.257135 |  0.300000 |  0.220000 |           0.080000
     500  |  0.279599 |  0.260000 |  0.300000 |  0.220000 |           0.080000
